Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200708,AK,1226,584,30,,61,141,29,40,24,317,70,781,375,17,11,0,,2,3,1,0,0,0,0,17,0
20200708,AL,46962,15937,16006,,194,,,,2650,12171,4373,27325,15263,1058,513,459,,4,,,,18,64,33,891,134
20200708,AR,25246,11955,5471,,351,68,1653,,3426,2322,6238,19008,0,305,165,74,,3,0,27,,19,17,27,261,17
20200708,AS,,,,,,,,,,,,,,,,,,,,,,,0,,,
20200708,AZ,108614,17638,2422,25635,804,7419,,,2006,52690,25635,30289,52690,1963,813,56,448,20,320,,,38,268,448,1247,268
20200708,CA,289468,32447,8125,101464,11635,381,1123,1332,29384,103577,101464,84427,103577,6562,2026,582,2715,892,23,28,33,76,187,2715,3660,187
20200708,CO,35116,10955,1684,12074,764,176,115,337,257,8749,12074,14288,8749,1544,962,100,335,51,8,5,18,7,54,335,1151,54
20200708,CT,47108,16564,6161,8933,681,46,,130,265,14328,8933,23847,14328,4343,3182,644,375,47,2,,27,16,50,375,3918,50
20200708,DC,10642,2168,5241,,168,26,29,,2721,274,2999,6320,1323,564,60,417,74,8,,,,0,5,74,485,5
20200708,DE,12128,3944,3197,3385,177,,,,608,1151,3385,7926,1151,515,324,131,32,1,,,,6,21,32,462,21
20200708,FL,223783,47725,31944,60129,,,,,7772,76213,60129,74612,89042,3991,1849,792,999,,,,,127,224,999,2615,377
20200708,GA,103890,25193,28090,15743,1437,57,96,,2980,30294,15743,49075,39072,2922,1322,1365,152,47,3,6,,10,17,152,2733,37
20200708,GU,301,34,,,122,,121,,18,14,,,,5,,,,,,,,,5,,,5
20200708,HI,1094,186,9,,304,,301,,19,275,,,,19,,,,,,,,,19,,,
20200708,IA,32945,21204,2935,,1957,326,326,,326,5871,7503,19899,4893,735,586,36,,23,4,11,,3,69,51,599,84
20200708,ID,8969,4393,133,,86,89,30,326,968,2941,1773,3343,3852,98,93,1,,2,1,,,1,0,8,90,0
20200708,IL,150554,31974,25072,48116,4249,225,384,,5544,34990,48116,67448,34990,7309,3163,1967,1460,337,10,8,,51,313,1460,5536,103
20200708,IN,49063,22443,5905,,729,,,,8781,11205,5566,16375,27122,2732,1644,368,,13,,,,332,375,49,1345,1145
20200708,KS,17618,11220,1415,,797,114,,,791,3281,6679,7339,3600,282,198,61,,9,2,,,8,4,36,237,9
20200708,KY,17919,9417,1707,,457,64,34,717,,5523,2028,10233,5658,608,463,87,,7,,,11,,40,23,520,65
